Race ,Place,Horse
2016 Kentucky Derby,1,Nyquist
2016 Kentucky Derby,2,Exaggerator
2016 Kentucky Derby,3,Gun runner
2016 Kentucky Derby,4,Mohaymen
2016 Kentucky Derby,5,Suddenbreakingnews
2016 Kentucky Derby,6,Destin
2016 Kentucky Derby,7,Brody's Cause
2016 Kentucky Derby,8,Mo Tom
2016 Kentucky Derby,9,Lani
2016 Kentucky Derby,10,Mor Spirit
2016 Kentucky Derby,11,My Man Sam
2016 Kentucky Derby,12,Tom's Ready
2016 Kentucky Derby,13,Creator
2016 Kentucky Derby,14,Outword
2016 Kentucky Derby,15,Danzing Candy
2016 Kentucky Derby,16,Trojan Nation
2016 Kentucky Derby,17,Oscar Nominated
2016 Kentucky Derby,18,Majesto
2016 Kentucky Derby,19,Whitmore
2016 Kentucky Derby,DNF,Shagaf
