RACE,TRACK,DATE,WIN PTS,PLACE PTS,SHOW PTS,4TH PTS,WIN,PLACE,SHOW,4TH,BEYER,VALUE,104,WIN PTS,PLACE PTS,SHOW PTS,4TH PTS
Iroquois,Churchill Downs,12-Sep-15,10,4,2,1,COCKED AND LOADED,RATER R SUPERSTAR,UNBRIDLED OUTLAW,CONQUEST WINDY CITY,82,79%,ABOVE IS THE EXPECTED BEYER RATING TO WIN THE KENTUCKY DERBY,7.88,3.15,1.58,0.79
FrontRunner,Santa Anita Park,26-Sep-15,10,4,2,1,NYQUIST,SWIPE,HOLLYWOOD DON,RARE CANDY,79,76%,,7.6,3.04,1.52,0.76
Champagne,Belmont Park,3-Oct-15,10,4,2,1,GREENPOINTCRUSADER,SUNNY RIDGE,PORTFOLIO MANAGER,SAIL AHOY,94,90%,,9.04,3.62,1.81,0.9
Breeders' Futurity,Keeneland,3-Oct-15,10,4,2,1,BRODY'S CAUSE,EXAGGERATOR,RATER R SUPERSTAR,STICKSSTATELYDUDE,88,85%,,8.46,3.38,1.69,0.85
Grey,Woodbine,4-Oct-15,10,4,2,1,RIKER,KASSEOPIA,TIZZARUNNER,,85,82%,,8.17,3.27,1.63,0.82
Breeders' Cup Juvenile,Keeneland,31-Oct-15,20,8,4,2,NYQUIST,SWIPE,BRODY'S CAUSE,EXAGGERATOR,89,86%,,17.12,6.85,3.42,1.71
Delta Downs Jackpot,Delta Downs,21-Nov-15,10,4,2,1,EXAGGERATOR,SUNNY RIDGE,HARLAN PUNCH,FOUND MONEY,92,89%,,8.85,3.54,1.77,0.89
Remsen,Aqueduct,28-Nov-15,10,4,2,1,MOHAYMEN,FLEXIBILITY,GIFT BOX,SAIL AHOY,95,91%,,9.13,3.65,1.83,0.91
Kentucky Jockey Club,Churchill Downs,28-Nov-15,10,4,2,1,AIROFORCE,MOR SPIRIT,MO TOM,GUN RUNNER,87,84%,,8.37,3.35,1.67,0.84
Los Alamitos Futurity,Los Alamitos Race Course,19-Dec-15,10,4,2,1,MOR SPIRIT,TOEWS ON ICE,I'MALREADYTHERE,URLACHER,88,85%,,8.46,3.38,1.69,0.85
Jerome,Aqueduct,2-Jan-16,10,4,2,1,FLEXIBILITY,VORTICITY,IN EQUALITY,,90,87%,,8.65,3.46,1.73,0.87
Sham,Santa Anita Park,9-Jan-16,10,4,2,1,COLLECTED,LET'S MEET IN RIO,LAOBAN,FOUND MONEY,81,78%,,7.79,3.12,1.56,0.78
LeComte,Fair Grounds,16-Jan-16,10,4,2,1,MO TOM,TOM'S READY,UNCLE WALTER,DESTIN,88,85%,,8.46,3.38,1.69,0.85
Smarty Jones,Oaklawn Park,18-Jan-16,10,4,2,1,DISCREETNESS,GORDY FLORIDA,SYNCHRONY,LUNA DE LOCO,83,80%,,7.98,3.19,1.6,0.8
Holy Bull,Gulfstream Park,30-Jan-16,10,4,2,1,MOHAYMEN,GREENPOINTCRUSADER,FELLOWSHIP,CONQUEST BIG E,95,91%,,9.13,3.65,1.83,0.91
Withers,Aqueduct,30-Jan-16,10,4,2,1,SUNNY RIDGE,VORTICITY,ADVENTIST,FLEXIBILITY,87,84%,,8.37,3.35,1.67,0.84
Robert B. Lewis,Santa Anita Park,6-Feb-16,10,4,2,1,MOR SPIRIT,UNCLE LINO,I WILL SCORE,DRESSED IN HERMES,93,89%,,8.94,3.58,1.79,0.89
El Camino Real Derby,Golden Gate Fields,13-Feb-16,10,4,2,1,FRANK CONVERSATION,TUSK,KASSEOPIA,SAN DIMAS,86,83%,,8.27,3.31,1.65,0.83
Southwest,Oaklawn Park,15-Feb-16,10,4,2,1,SUDDENBREAKINGNEWS,WHITMORE,AMERICAN DUBAI,COLLECTED,93,89%,,8.94,3.58,1.79,0.89
Risen Star,Fair Grounds,20-Feb-16,50,20,10,5,GUN RUNNER,FOREVAMO,MO TOM,CANDY MY BOY,90,87%,,43.25,17.3,8.65,4.33
Fountain of Youth,Gulfstream Park,27-Feb-16,50,20,10,5,MOHAYMEN,ZULU,FELLOWSHIP,AWESOME SPEED,95,91%,,45.65,18.26,9.13,4.57
Gotham,Aqueduct,5-Mar-16,50,20,10,5,SHAGAF,LAOBAN,ADVENTIST,SUNNY RIDGE,87,84%,,41.85,16.74,8.37,4.19
Tampa Bay Derby,Tampa Bay Downs,12-Mar-16,50,20,10,5,DESTIN,OUTWORK,STAR HILL,RAFTING,100,96%,,48.1,19.24,9.62,4.81
